id,headword,display_spelling,frequency_rank,human_review
aa2cabca-2731-517f-b37a-dfa5b7352e40,active,active,1316,false
9de3bbdc-b298-5665-8209-eab713778aeb,adult,adult,969,false
08069a74-67c7-5a93-9cff-eaeb279801d7,age,age,363,false
c30c52f5-37d0-51d7-84ee-e38d617cc32c,agree,agree,401,false
4d94db1b-86a4-5ef8-b85a-1c474b14b215,alive,alive,1532,false
2055d1ae-2164-56fc-94a8-0125ed51ac4a,alone,alone,1097,false
b5c7648e-0156-5ada-a460-46b064865c57,apartment,apartment,1273,false
dec0ef55-1ff4-5e06-9bb3-1a7e4175f022,appearance,appearance,1435,false
12346ecb-347d-5ac5-a14f-abcf3ca1b6b1,argument,argument,832,false
1cb14623-1200-5ba7-a056-f2deff8b2cff,arm,arm,491,false
5561dee8-433a-5567-abf3-c10bf4a81566,attitude,attitude,920,false
d033c83a-e3c4-5238-bf32-65690bab8769,aunt,aunt,2569,false
43647738-b133-5d8a-bd8f-3318808d95f5,baby,baby,588,false
084baeff-1bfd-5b0c-a395-97d6d55be018,bag,bag,1008,false
22af4c99-013f-53f3-a623-72dfb37ef284,balcony,balcony,5402,false
9137fd80-8ddc-5cfc-b386-2b65c742072a,basket,basket,3255,false
a7388e34-9225-5d05-9021-64ce71ccefff,bathroom,bathroom,2404,false
2c24318c-5c70-5e7d-9e49-4bb171c7fce1,beard,beard,4690,false
c413fb20-3a0b-55d5-932a-1a04731bec9d,beautiful,beautiful,992,false
5e40264d-2b46-59f0-bb43-cce672e7aac4,bed,bed,563,false
2525730d-1269-5234-80e8-99173cc33906,bedroom,bedroom,1570,false
ac9eb104-9e02-5081-bdf9-f11427563868,behavior,behavior,658,false
2b6435ed-c8ea-582d-850a-a5e0199eb902,birth,birth,1499,false
6edc2e32-b119-547a-a154-5c84db1c0738,blanket,blanket,3306,false
15a42da7-5147-5479-9335-9f8eaaea45e2,body,body,274,false
f4a08ff5-e089-5def-99ca-e5cea9a57af3,born,born,1088,false
c387e3c1-466e-5244-915f-f54f2660837b,bottle,bottle,1584,false
e3177b8d-5e3a-5b92-bb0d-7a27b81824ce,bowl,bowl,1829,false
e12064bf-98b7-54e6-9ad7-ccefb43f1fba,box,box,795,false
69c047e0-4eb6-5bec-b17d-5c250bb8776f,boy,boy,382,false
e819ed39-0972-5e46-9f6e-a666bd33d521,brother,brother,614,false
14c576c9-7319-5a42-becc-2ba095eac4c0,brush,brush,3223,false
728b36ae-7917-5a3c-bfda-60ca4538e91a,building,building,420,false
5e04d42f-7db0-5762-a0be-3415d042cc9c,cabinet,cabinet,1378,false
9ecc3abc-0829-52c7-8751-8697a11a8a35,care,care,434,false
9de50056-5b8a-5899-8efc-afb6c7708e81,carpet,carpet,2484,false
064d865d-fe88-5dec-8a42-1fc0b9ab1d27,carry,carry,283,false
63008320-0403-5a1b-91b2-733d2f2d344b,ceiling,ceiling,2641,false
