form_id,sense_id,headword,form_type,form_word,source,human_review,review_reason
family_n_1_form_1,family_n_1,family,plural,families,ECDICT.exchange,F,
parent_n_1_form_1,parent_n_1,parent,plural,parents,ECDICT.exchange,F,
mother_n_1_form_1,mother_n_1,mother,plural,mothers,ECDICT.exchange,F,
child_n_1_form_1,child_n_1,child,plural,children,ECDICT.exchange,F,
father_n_1_form_1,father_n_1,father,plural,fathers,ECDICT.exchange,F,
son_n_1_form_1,son_n_1,son,plural,sons,ECDICT.exchange,F,
daughter_n_1_form_1,daughter_n_1,daughter,plural,daughters,ECDICT.exchange,F,
baby_n_1_form_1,baby_n_1,baby,plural,babies,ECDICT.exchange,F,
brother_n_1_form_1,brother_n_1,brother,plural,brothers,ECDICT.exchange,F,
dad_n_1_form_1,dad_n_1,dad,plural,dads,ECDICT.exchange,F,
husband_n_1_form_1,husband_n_1,husband,plural,husbands,ECDICT.exchange,F,
wife_n_1_form_1,wife_n_1,wife,plural,wives,ECDICT.exchange,F,
sister_n_1_form_1,sister_n_1,sister,plural,sisters,ECDICT.exchange,F,
couple_n_1_form_1,couple_n_1,couple,plural,couples,ECDICT.exchange,F,
adult_n_1_form_1,adult_n_1,adult,plural,adults,ECDICT.exchange,F,
person_n_1_form_1,person_n_1,person,plural,persons,ECDICT.exchange,F,
aunt_n_1_form_1,aunt_n_1,aunt,plural,aunts,ECDICT.exchange,F,
boy_n_1_form_1,boy_n_1,boy,plural,boys,ECDICT.exchange,F,
girl_n_1_form_1,girl_n_1,girl,plural,girls,ECDICT.exchange,F,
marriage_n_1_form_1,marriage_n_1,marriage,plural,marriages,ECDICT.exchange,F,
uncle_n_1_form_1,uncle_n_1,uncle,plural,uncles,ECDICT.exchange,F,
cousin_n_1_form_1,cousin_n_1,cousin,plural,cousins,ECDICT.exchange,F,
man_n_1_form_1,man_n_1,man,plural,men,ECDICT.exchange,F,
woman_n_1_form_1,woman_n_1,woman,plural,women,ECDICT.exchange,F,
age_n_1_form_1,age_n_1,age,plural,ages,ECDICT.exchange,F,
relative_n_1_form_1,relative_n_1,relative,plural,relatives,ECDICT.exchange,F,
grandmother_n_1_form_1,grandmother_n_1,grandmother,plural,grandmothers,ECDICT.exchange,F,
people_n_1_form_1,people_n_1,people,plural,peoples,ECDICT.exchange,F,
grandfather_n_1_form_1,grandfather_n_1,grandfather,plural,grandfathers,ECDICT.exchange,F,
friend_n_1_form_1,friend_n_1,friend,plural,friends,ECDICT.exchange,F,
kid_n_1_form_1,kid_n_1,kid,plural,kids,ECDICT.exchange,F,
mom_n_1_form_1,mom_n_1,mom,plural,moms,ECDICT.exchange,F,
name_n_1_form_1,name_n_1,name,plural,names,ECDICT.exchange,F,
young_adj_1_form_1,young_adj_1,young,comparative,younger,ECDICT.exchange,F,
young_adj_1_form_2,young_adj_1,young,superlative,youngest,ECDICT.exchange,F,
grandparent_n_1_form_1,grandparent_n_1,grandparent,plural,grandparents,ECDICT.exchange,F,
old_adj_1_form_1,old_adj_1,old,comparative,older,ECDICT.exchange,F,
old_adj_1_form_2,old_adj_1,old,superlative,oldest,ECDICT.exchange,F,
partner_n_1_form_1,partner_n_1,partner,plural,partners,ECDICT.exchange,F,
teenager_n_1_form_1,teenager_n_1,teenager,plural,teenagers,ECDICT.exchange,F,
twin_n_1_form_1,twin_n_1,twin,plural,twins,ECDICT.exchange,F,
grandson_n_1_form_1,grandson_n_1,grandson,plural,grandsons,ECDICT.exchange,F,
granddaughter_n_1_form_1,granddaughter_n_1,granddaughter,plural,granddaughters,ECDICT.exchange,F,
nephew_n_1_form_1,nephew_n_1,nephew,plural,nephews,ECDICT.exchange,F,
neighbor_n_1_form_1,neighbor_n_1,neighbor,plural,neighbors,ECDICT.exchange,F,
niece_n_1_form_1,niece_n_1,niece,plural,nieces,ECDICT.exchange,F,
short_adj_1_form_1,short_adj_1,short,comparative,shorter,ECDICT.exchange,F,
short_adj_1_form_2,short_adj_1,short,superlative,shortest,ECDICT.exchange,F,
grow_v_1_form_1,grow_v_1,grow,past,grew,ECDICT.exchange,F,
grow_v_1_form_2,grow_v_1,grow,past_participle,grown,ECDICT.exchange,F,
grow_v_1_form_3,grow_v_1,grow,present_participle,growing,ECDICT.exchange,F,
grow_v_1_form_4,grow_v_1,grow,third_person_singular,grows,ECDICT.exchange,F,
birth_n_1_form_1,birth_n_1,birth,plural,births,ECDICT.exchange,F,
heavy_adj_1_form_1,heavy_adj_1,heavy,comparative,heavier,ECDICT.exchange,F,
heavy_adj_1_form_2,heavy_adj_1,heavy,superlative,heaviest,ECDICT.exchange,F,
strong_adj_1_form_1,strong_adj_1,strong,comparative,stronger,ECDICT.exchange,F,
strong_adj_1_form_2,strong_adj_1,strong,superlative,strongest,ECDICT.exchange,F,
height_n_1_form_1,height_n_1,height,plural,heights,ECDICT.exchange,F,
face_n_1_form_2,face_n_1,face,plural,faces,ECDICT.exchange,F,
youth_n_1_form_1,youth_n_1,youth,plural,youths,ECDICT.exchange,F,
eye_n_1_form_1,eye_n_1,eye,plural,eyes,ECDICT.exchange,F,
tall_adj_1_form_1,tall_adj_1,tall,comparative,taller,ECDICT.exchange,F,
tall_adj_1_form_2,tall_adj_1,tall,superlative,tallest,ECDICT.exchange,F,
hair_n_1_form_1,hair_n_1,hair,plural,hairs,ECDICT.exchange,F,
pretty_adj_1_form_1,pretty_adj_1,pretty,superlative,prettiest,ECDICT.exchange,F,
pretty_adj_1_form_2,pretty_adj_1,pretty,comparative,prettier,ECDICT.exchange,F,
thin_adj_1_form_1,thin_adj_1,thin,comparative,thinner,ECDICT.exchange,F,
thin_adj_1_form_3,thin_adj_1,thin,superlative,thinnest,ECDICT.exchange,F,
healthy_adj_1_form_1,healthy_adj_1,healthy,comparative,healthier,ECDICT.exchange,F,
healthy_adj_1_form_2,healthy_adj_1,healthy,superlative,healthiest,ECDICT.exchange,F,
weak_adj_1_form_1,weak_adj_1,weak,comparative,weaker,ECDICT.exchange,F,
weak_adj_1_form_2,weak_adj_1,weak,superlative,weakest,ECDICT.exchange,F,
hand_n_1_form_1,hand_n_1,hand,plural,hands,ECDICT.exchange,F,
foot_n_1_form_1,foot_n_1,foot,plural,feet,ECDICT.exchange,F,
head_n_1_form_1,head_n_1,head,plural,heads,ECDICT.exchange,F,
body_n_1_form_1,body_n_1,body,plural,bodies,ECDICT.exchange,F,
arm_n_1_form_1,arm_n_1,arm,plural,arms,ECDICT.exchange,F,
nose_n_1_form_1,nose_n_1,nose,plural,noses,ECDICT.exchange,F,
mouth_n_1_form_1,mouth_n_1,mouth,plural,mouths,ECDICT.exchange,F,
childhood_n_1_form_1,childhood_n_1,childhood,plural,childhoods,ECDICT.exchange,F,
skin_n_1_form_1,skin_n_1,skin,plural,skins,ECDICT.exchange,F,
ear_n_1_form_1,ear_n_1,ear,plural,ears,ECDICT.exchange,F,
leg_n_1_form_1,leg_n_1,leg,plural,legs,ECDICT.exchange,F,
tooth_n_1_form_1,tooth_n_1,tooth,plural,teeth,ECDICT.exchange,F,
look_n_1_form_5,look_n_1,look,plural,looks,ECDICT.exchange,F,
laugh_v_1_form_1,laugh_v_1,laugh,past,laughed,ECDICT.exchange,F,
laugh_v_1_form_2,laugh_v_1,laugh,present_participle,laughing,ECDICT.exchange,F,
laugh_v_1_form_3,laugh_v_1,laugh,third_person_singular,laughs,ECDICT.exchange,F,
laugh_v_1_form_4,laugh_v_1,laugh,past_participle,laughed,ECDICT.exchange,F,
voice_n_1_form_1,voice_n_1,voice,plural,voices,ECDICT.exchange,F,
smile_v_1_form_1,smile_v_1,smile,past,smiled,ECDICT.exchange,F,
smile_v_1_form_2,smile_v_1,smile,present_participle,smiling,ECDICT.exchange,F,
smile_v_1_form_4,smile_v_1,smile,third_person_singular,smiles,ECDICT.exchange,F,
